text,choice1,choice2,choice3,answer,level
"The little bird sang a sweet song. What does sweet mean?","Nice and pleasant","Sour and loud","Very scary",1,1
"Leo was upset when his toy broke. What does upset mean?","Happy and excited","Sad or angry","Very sleepy",2,1
"The big box was heavy to lift. What does heavy mean?","Weighs a lot","Very light","Bright yellow",1,1
"We walked fast to catch the bus. What does fast mean?","Slowly","Quickly","Quietly",2,1
"The water in the pool was chilly. What does chilly mean?","Very hot","A little cold","Bright green",2,1
"The tiny bug crawled on the leaf. What does tiny mean?","Very big","Very small","Loud",2,1
"The street was quiet at night. What does quiet mean?","Making no noise","Very loud","Full of cars",1,1
"Dad helped me fix the broken bike. What does fix mean?","To break more","To make whole again","To throw away",2,1
"The sun is very bright today. What does bright mean?","Dark and cloudy","Giving lots of light","Cold",2,1
"The puppy was glad to see us. What does glad mean?","Happy","Mad","Sad",1,1
"The path was narrow, so we walked in a line. What does narrow mean?","Very wide","Thin and not wide","Short",2,1
"Mom made a huge cake for my birthday. What does huge mean?","Very small","Very large","Tastes bad",2,1
"The blanket felt cozy on the couch. What does cozy mean?","Warm and comfy","Cold and hard","Wet",1,1
"The rock was rough when I touched it. What does rough mean?","Smooth and soft","Not smooth or bumpy","Blue",2,1
"The room was messy with toys everywhere. What does messy mean?","Clean and neat","Not neat or untidy","Empty",2,1
"The turtle is very slow. What does slow mean?","Moving fast","Not moving fast","Flying high",2,1
"The test was simple and I got an A. What does simple mean?","Easy to do","Very hard","Long",1,1
"I made a mistake on my drawing. What does mistake mean?","An error or wrong move","A perfect job","A new color",1,1
"The kitchen was spotless after cleaning. What does spotless mean?","Very dirty","Perfectly clean","Smelly",2,1
"The story was funny and made us laugh. What does funny mean?","Silly and making you laugh","Scary","Boring",1,1
"The teacher gave us a brief recess. What does brief mean?","Very long","Short in time","Loud",2,1
"We need to hurry or we will be late. What does hurry mean?","Move slowly","Move quickly","Sit down",2,1
"The kitten was timid and hid under the bed. What does timid mean?","Shy or scared","Brave and loud","Hungry",1,1
"The water was shallow, so we splashed our feet. What does shallow mean?","Not deep","Very deep","Cold",1,1
"The task was difficult, but I did not give up. What does difficult mean?","Very easy","Hard to do","Fun",2,1
"The brave firefighter rescued the cat from the tall tree. What does rescue mean?","To leave behind","To save from danger","To watch from far away",2,2
"The children were eager to open their presents. What does eager mean?","Very excited and wanting to do something","Tired and ready for bed","Feeling bored",1,2
"The artist used a blend of blue and yellow to make green. What does blend mean?","A mixture of different things","A clean paintbrush","A type of paper",1,2
"The dark clouds made the sky look gloomy. What does gloomy mean?","Bright and sunny","Dark and sad","Warm and windy",2,2
"We took a different route to school today. What does route mean?","A type of vehicle","A heavy backpack","A path or road to travel",3,2
"The sudden loud noise startled the sleeping puppy. What does startle mean?","To make happy","To put to sleep","To surprise or scare",3,2
"The instructions were clear, so it was easy to build the toy. What does clear mean?","Easy to understand","Very long and hard","Written in secret code",1,2
"The old map was so fragile it tore when I touched it. What does fragile mean?","Very strong","Easily broken","Brightly colored",2,2
"The cozy blanket kept me warm all night. What does cozy mean?","Cold and wet","Hard and bumpy","Comfortable and warm",3,2
"The curious monkey wanted to see what was inside the box. What does curious mean?","Wanting to know or learn","Very sleepy","Scared of everything",1,2
"The principal made an announcement over the loudspeaker. What does announcement mean?","A quiet whisper","An important message shared with everyone","A fun game",2,2
"The runner felt weary after finishing the long race. What does weary mean?","Very excited","Full of energy","Tired or worn out",3,2
"The visual map helped us find the hidden treasure. What does visual mean?","Something you can see","Something you hear","Something you taste",1,2
"The small mouse hid in a cavity in the wall. What does cavity mean?","A large mountain","A hollow hole or space","A piece of wood",2,2
"The store had an abundant supply of fresh apples. What does abundant mean?","Not enough","Having plenty or a lot","Spoiled and bad",2,2
"The two friends had a dispute over who would play first. What does dispute mean?","An agreement","A shared toy","A disagreement or argument",3,2
"The chef used a sharp knife to slice the ripe tomatoes. What does slice mean?","To cut into pieces","To mash up completely","To cook on the stove",1,2
"The vast desert stretched out for miles and miles. What does vast mean?","Very small and tight","Extremely large","Cold and rainy",2,2
"The creative student drew a beautiful picture. What does creative mean?","Having good or original ideas","Very lazy","Always on time",1,2
"The continuous rain kept us inside all afternoon. What does continuous mean?","Stopping and starting","Going on without stopping","Just a tiny drop",2,2
"The heavy coat is essential for the freezing weather. What does essential mean?","Not needed at all","Fun to wear","Completely necessary",3,2
"The gentle stream flowed slowly through the woods. What does gentle mean?","Mild and peaceful","Wild and fast","Loud and scary",1,2
"The team celebrated their victory after winning the game. What does victory mean?","A bad loss","A hard practice","A win or success",3,2
"The sudden storm caused a delay in our travel plans. What does delay mean?","A time when things are slowed down","A fast trip","A clear sunny sky",1,2
"The solid ice did not break when the rock hit it. What does solid mean?","Firm and hard","Soft and mushy","Completely melted",1,2
"The agile gymnast easily flipped across the blue mat. What does agile mean?","Able to move quickly and easily","Feeling very tired","Heavy and slow",1,3
"The dark, dense forest made it difficult to see the trail. What does dense mean?","Thick and closely packed","Open and sunny","Completely empty",1,3
"The child tried to mimic the bird's chirping sound. What does mimic mean?","To ignore completely","To copy or imitate","To scare away",2,3
"We need to conserve water by turning off the faucet while brushing our teeth. What does conserve mean?","To waste or throw away","To save or protect","To make dirty",2,3
"The lost traveler was bewildered by the many different paths. What does bewildered mean?","Very confused","Excited and happy","Calm and relaxed",1,3
"The bright sun will illuminate the dark room when you open the blinds. What does illuminate mean?","To hide from view","To make cold","To light up",3,3
"She gave a vague answer because she did not remember the details. What does vague mean?","Not clear or specific","Very loud and noisy","Perfectly accurate",1,3
"The solitary bear roamed the mountains all by itself. What does solitary mean?","Living in a large group","Living or being alone","Playful and friendly",2,3
"The brave knight refused to retreat from the battle. What does retreat mean?","To move forward","To stay in one place","To withdraw or move back",3,3
"The long drought left the soil dry and cracked. What does drought mean?","A long period of no rain","A sudden heavy flood","A very cold blizzard",1,3
"The teacher praised the student for their remarkable progress. What does remarkable mean?","Unusual or extraordinary","Very poor or bad","Normal and expected",1,3
"The delicious aroma of baking cookies filled the entire house. What does aroma mean?","A loud noise","A pleasant smell","A beautiful sight",2,3
"The cat will conceal itself behind the curtain to hunt the toy. What does conceal mean?","To hide from sight","To show off","To make a loud noise",1,3
"The medicine helped to alter his body temperature back to normal. What does alter mean?","To keep the same","To make worse","To change or modify",3,3
"The grand palace had dozens of massive rooms. What does grand mean?","Small and plain","Impressive and magnificent","Dirty and old",2,3
"The ancient coins were discovered deep underground. What does ancient mean?","Very, very old","Brand new","Shiny and clean",1,3
"The persistent puppy kept barking until someone opened the door. What does persistent mean?","Giving up instantly","Refusing to give up","Very quiet",2,3
"The principal wanted to clarify the rules so everyone understood. What does clarify mean?","To make confusing","To completely ignore","To make clear and plain",3,3
"The soft cushion helped absorb the impact when he fell. What does absorb mean?","To throw back","To take in or soak up","To push away",2,3
"The map was vital for finding our way out of the woods. What does vital mean?","Not important at all","Extremely important or necessary","Fun to look at",2,3
"The sudden gust of wind caused the campfire to flicker. What does flicker mean?","To burn brightly and steadily","To go out completely","To shine unsteadily or blink",3,3
