text,choice1,choice2,choice3,answer,level
“The dog barked.” What did the dog do?,Barked,Slept,Ate,1,1
“The boy has a red ball.” What color is the ball?,Blue,Red,Green,2,1
“The bird can fly.” What can the bird do?,Swim,Fly,Drive,2,1
“Mom made a cake.” What did Mom make?,Cake,Pizza,Soup,1,1
“The fish is in the water.” Where is the fish?,Tree,Water,House,2,1
“Sam wears a hat.” What does Sam wear?,Shoes,Hat,Coat,2,1
“The sun is hot.” What is hot?,Moon,Sun,Rain,2,1
“The girl reads a book.” What is she reading?,Book,Letter,Map,1,1
“Tom has two cats.” How many cats does Tom have?,One,Two,Three,2,1
“The apple is green.” What color is the apple?,Green,Red,Yellow,1,1
“The baby is sleeping.” What is the baby doing?,Running,Sleeping,Eating,2,1
“We ride the bus to school.” What do we ride?,Bike,Bus,Train,2,1
“The cow says moo.” Which animal says moo?,Cow,Dog,Duck,1,1
“Jen drinks milk.” What does Jen drink?,Juice,Water,Milk,3,1
“The tree is tall.” What is tall?,Tree,Flower,Rock,1,1
“The frog jumps.” What does the frog do?,Jumps,Sleeps,Reads,1,1
“Dad drives a car.” What does Dad drive?,Boat,Car,Plane,2,1
“The duck is yellow.” What color is the duck?,Yellow,Black,Brown,1,1
“The boy is happy.” How does the boy feel?,Sad,Happy,Angry,2,1
“The cat drinks milk.” What does the cat drink?,Milk,Juice,Tea,1,1
“Sue has a blue kite.” What does Sue have?,Ball,Kite,Bike,2,1
“The horse runs fast.” What animal runs fast?,Horse,Fish,Bird,1,1
“It is raining outside.” What is the weather like?,Sunny,Snowy,Rainy,3,1
“The children play at the park.” Where do the children play?,School,Park,Store,2,1
“The rabbit eats a carrot.” What does the rabbit eat?,Apple,Carrot,Bread,2,1
“Lily planted a seed in the garden.” What did Lily plant?,A flower,A seed,A tree,2,2
“The rabbit hopped across the field.” How did the rabbit move?,Hopped,Flew,Swam,1,2
“Jake wore a jacket because it was cold outside.” Why did Jake wear a jacket?,It was raining,It was cold,It was hot,2,2
“The children laughed at the funny clown.” Why did the children laugh?,The clown was funny,The clown was sad,The clown was sleeping,1,2
“Emma put her books on the shelf.” Where did Emma put her books?,On the desk,On the shelf,In a box,2,2
“The squirrel gathered nuts for winter.” Why did the squirrel gather nuts?,To play a game,For winter,To give away,2,2
“Ben finished his homework before dinner.” What did Ben finish?,His game,His homework,His lunch,2,2
“The ice cream melted in the sun.” Why did the ice cream melt?,It was frozen,It was in the sun,It was in a bowl,2,2
“Sara shared her crayons with her friend.” What did Sara share?,Her lunch,Her crayons,Her book,2,2
“The puppy wagged its tail when it saw its owner.” How did the puppy feel?,Happy,Scared,Sleepy,1,2
“The boy used an umbrella during the storm.” Why did he use an umbrella?,To stay dry,To stay warm,To play baseball,1,2
“Mia arrived early to school.” When did Mia arrive?,Late,Early,At night,2,2
“The farmer fed the chickens every morning.” Who fed the chickens?,The teacher,The farmer,The doctor,2,2
“The boat floated on the lake.” Where was the boat?,On the lake,In the sky,On the road,1,2
“Noah carefully carried the glass of water.” Why was Noah careful?,The glass could break,The water was hot,He was running,1,2
“The library was quiet.” What was the library like?,Loud,Quiet,Crowded,2,2
“Olivia drew a picture of her family.” What did Olivia draw?,A map,A picture,A letter,2,2
“The fire truck rushed to help.” Why did the fire truck rush?,To help,To race,To park,1,2
“The boy was tired after playing soccer.” Why was the boy tired?,He was reading,He was playing soccer,He was sleeping,2,2
“A caterpillar changes into a butterfly.” What does a caterpillar become?,A bird,A butterfly,A bee,2,2
“The baker made fresh bread.” What did the baker make?,Cookies,Bread,Cake,2,2
“The class took a trip to the zoo.” Where did the class go?,The park,The zoo,The beach,2,2
“The girl whispered so she would not wake the baby.” Why did she whisper?,She was angry,She did not want to wake the baby,She was outside,2,2
“The snow covered the ground.” What covered the ground?,Rain,Snow,Leaves,2,2
“The clock showed 3:00.” What time was it?,2:00,3:00,4:00,2,2
“Max rode his bike to the park.” How did Max get to the park?,Car,Bike,Bus,2,3
“The leaves turned orange in the fall.” When did the leaves turn orange?,Spring,Summer,Fall,3,3
“Anna found a lost puppy and gave it water.” What did Anna give the puppy?,Food,Water,A toy,2,3
“The river flowed quickly after the rain.” How did the river flow?,Slowly,Quickly,Calmly,2,3
“Leo read a long story to his class.” What did Leo read?,Poem,Story,Letter,2,3
“The wind blew the kite high in the sky.” What did the wind move?,Tree,Kite,Ball,2,3
“Sofia saved her allowance to buy a book.” What did she save for?,A toy,A book,Candy,2,3
“The birds built nests in the trees.” Where did the birds build nests?,On the ground,In trees,In water,2,3
“Jake washed his hands before dinner.” Why did Jake wash his hands?,To play,To eat,To sleep,2,3
“The sun set behind the mountains.” What time of day is it?,Morning,Evening,Noon,2,3
“Maya put on her raincoat when it rained.” What did Maya wear?,Hat,Raincoat,Gloves,2,3
“The kids cheered when their team scored a goal.” How did the kids react?,Cried,Cheered,Slept,2,3
“Tom put the puzzle pieces together.” What did Tom do?,Read a book,Did a puzzle,Ate lunch,2,3
“The baby smiled at her mother.” Who did the baby smile at?,Father,Mother,Friend,2,3
“The dog dug a hole in the yard.” What did the dog do?,Ran,Dug,Slept,2,3
“The train arrived at the station on time.” What arrived at the station?,Bus,Train,Plane,2,3
“Lucy planted flowers in the garden.” What did Lucy plant?,Flowers,Trees,Grass,1,3
“The cat chased the mouse.” Who chased whom?,Mouse chased cat,Cat chased mouse,Dog chased cat,2,3
"“It was windy, so the leaves fell off the trees.” Why did the leaves fall?",Because it rained,Because it was windy,Because it snowed,2,3
“Ben put his toys away before bed.” What did Ben do?,Played,Put away toys,Read a book,2,3
“The chef cooked soup for the customers.” What did the chef cook?,Bread,Soup,Cake,2,3
