text,choice1,choice2,choice3,answer,level
"The cat likes to drink fresh ___ from the bowl.","rocks","milk","trees",2,1
"A big yellow ___ stopped to let the children cross the street.","bus","fish","book",1,1
"Birds use their soft wings to ___ high in the sky.","swim","read","fly",3,1
"I wear a warm ___ when it is cold outside.","hat","shoe","coat",3,1
"The shiny ___ shines bright in the night sky.","grass","moon","apple",2,1
"The funny monkey loves to eat a yellow ___ for a snack.","banana","carrot","stone",1,1
"We use our sharp teeth to ___ our crunchy food.","hear","chew","blink",2,1
"My mom will ___ a delicious cake for my birthday party.","wash","draw","bake",3,1
"The big red ___ grows sweet fruit in the garden.","tree","cloud","river",1,1
"The little baby went to ___ in her warm crib.","dance","sleep","climb",2,1
"Please turn on the ___ so we can see in the dark room.","water","rug","light",3,1
"The heavy rain fell down from the dark ___ this afternoon.","cloud","floor","fire",1,1
"The quick rabbit can ___ fast across the green grass.","sing","write","hop",3,1
"I use a blue ___ to color a picture of the ocean.","crayon","spoon","clock",1,1
"The brave firefighter drives a big red ___ to help people.","bike","truck","boat",2,1
"A beautiful ___ spread its colorful wings and flew near the flowers.","butterfly","frog","puppy",1,1
"The cold ___ felt great on my face during the hot summer day.","dirt","stove","wind",3,1
"He used a metal shovel to dig a deep ___ in the sandbox.","wall","hole","star",2,1
"My teacher likes to ___ an exciting story to the class every morning.","read","paint","swim",1,1
"The giant ___ swam deep underwater and spouted water into the air.","horse","bird","whale",3,1
"I always wash my ___ with soap before I eat dinner.","hands","shoes","books",1,1
"The loud clock will ___ at seven o'clock to wake me up.","sleep","ring","melt",2,1
"We built a tall ___ out of plastic blocks on the living room floor.","tower","cloud","soup",1,1
"The sweet little honeybee landed on a colorful ___ to collect pollen.","rock","window","flower",3,1
"Put the trash inside the grey ___ so the room stays clean.","bin","bed","hat",1,1
"The creative artist used a thin brush to ___ a beautiful landscape.","cook","paint","drive",2,2
"The ancient castle was built entirely out of heavy gray ___.","stone","paper","glass",1,2
"The golden autumn leaves began to ___ gently from the tall branches.","fall","grow","shout",1,2
"A loyal guard dog will always ___ its family from any danger.","forget","ignore","protect",3,2
"She was so ___ after running the long race that she drank three cups of water.","sleepy","thirsty","cold",2,2
