Grade,Title,Author,Genre,Free Read Link
1,The Wonderful Wizard of Oz,L. Frank Baum,Fantasy/Sci-Fi Elements,https://www.gutenberg.org/ebooks/43936
1,Alice's Adventures in Wonderland,Lewis Carroll,Fantasy/Speculative Fiction,https://www.gutenberg.org/ebooks/11
1,The Wind in the Willows,Kenneth Grahame,Classic Fantasy,https://www.gutenberg.org/ebooks/289
1,The Tale of Peter Rabbit,Beatrix Potter,Classic Animal Fantasy,https://www.gutenberg.org/ebooks/14838
1,The Blue Fairy Book,Andrew Lang,Fairy Tales/Fantasy,https://www.gutenberg.org/ebooks/503
2,Through the Looking-Glass,Lewis Carroll,Fantasy/Speculative Fiction,https://www.gutenberg.org/ebooks/12
2,The Princess and the Goblin,George MacDonald,Fantasy,https://www.gutenberg.org/ebooks/708
2,Five Children and It,E. Nesbit,Fantasy Adventure,https://www.gutenberg.org/ebooks/778
2,The Jungle Book,Rudyard Kipling,Adventure/Fantasy,https://www.gutenberg.org/ebooks/236
2,The Story of Doctor Dolittle,Hugh Lofting,Animal Fantasy,https://www.gutenberg.org/ebooks/501
3,At the Back of the North Wind,George MacDonald,Fantasy,https://www.gutenberg.org/ebooks/225
3,The Lost World,Arthur Conan Doyle,Science Fiction Adventure,https://www.gutenberg.org/ebooks/139
3,The Enchanted Castle,E. Nesbit,Fantasy,https://www.gutenberg.org/ebooks/34219
3,A Journey to the Center of the Earth,Jules Verne,Science Fiction,https://www.gutenberg.org/ebooks/18857
3,The Merry Adventures of Robin Hood,Howard Pyle,Classic Adventure,https://www.gutenberg.org/ebooks/10148
4,20,000 Leagues Under the Seas,Jules Verne,Science Fiction,https://www.gutenberg.org/ebooks/164
4,The Time Machine,H. G. Wells,Science Fiction,https://www.gutenberg.org/ebooks/35
4,The Wonderful Adventures of Nils,Selma Lagerlöf,Fantasy Adventure,https://www.gutenberg.org/ebooks/10997
4,The Mysterious Island,Jules Verne,Science Fiction Adventure,https://www.gutenberg.org/ebooks/1268
4,The Lost Prince,Frances Hodgson Burnett,Fantasy Adventure,https://www.gutenberg.org/ebooks/215
5,The War of the Worlds,H. G. Wells,Science Fiction,https://www.gutenberg.org/ebooks/36
5,The First Men in the Moon,H. G. Wells,Science Fiction,https://www.gutenberg.org/ebooks/1013
5,From the Earth to the Moon,Jules Verne,Science Fiction,https://www.gutenberg.org/ebooks/83
5,The Master Key,L. Frank Baum,Science Fiction/Fantasy,https://www.gutenberg.org/ebooks/436
5,The Moon Pool,A. Merritt,Science Fantasy,https://www.gutenberg.org/ebooks/765
6,A Princess of Mars,Edgar Rice Burroughs,Science Fiction Adventure,https://www.gutenberg.org/ebooks/62
6,The Land That Time Forgot,Edgar Rice Burroughs,Science Fiction Adventure,https://www.gutenberg.org/ebooks/551
