grade,textBefore,textAfter,choice1,choice2,choice3,answer
1,The cat can,___ up the tree.,climb,swim,run,1
1,We will,___ our hands before dinner.,wash,jump,throw,1
1,He likes to,___ with his toy.,play,write,listen,1
2,The farmer will,___ the seeds in soil.,plant,eat,sleep,1
2,The bird will,___ across the sky.,fly,drink,drive,1
2,Please,___ the door when you leave.,close,read,run,1
3,She will,___ her backpack to school.,carry,paint,listen,1
3,A lion can,___ loudly at night.,roar,swim,write,1
3,The students,___ quietly during the test.,work,sing,play,1
4,The chef will,___ a new recipe today.,prepare,dance,read,1
4,The river begins to,___ near the mountains.,flow,freeze,run,1
4,He will,___ his homework before dinner.,finish,break,sleep,1
5,The scientist will,___ the data carefully.,analyze,travel,draw,1
5,The team will,___ the game tomorrow.,start,stop,throw,1
5,The author decided to,___ a new chapter.,write,read,play,1
6,The teacher asked the class to,___ their papers.,review,hide,throw,1
6,The mountains appear more,___ in the distance.,majestic,angry,heavy,1
6,The athlete hoped to,___ the record.,break,read,drive,1
