text,choice1,choice2,choice3,choice4,answer,level
"“The cat sat on the mat.” What is the cat doing?","Running","Sitting","Flying","Sleeping",1,1
"“He ran quickly to catch the bus.” What does 'quickly' mean?","Slowly","Fast","Carefully","Sadly",1,2
"“The sun dipped below the horizon.” What time is it?","Morning","Noon","Evening","Midnight",2,3
"“She spoke in a trembling voice.” What does trembling suggest?","Anger","Fear","Joy","Excitement",1,3
"“The wind whispered through the trees.” This is an example of?","Metaphor","Simile","Personification","Hyperbole",2,4
"“He carried the weight of the world on his shoulders.” Meaning?","Physically strong","Very stressed","Happy","Lazy",1,4
"“It was the best of times, it was the worst of times.” What device?","Irony","Alliteration","Oxymoron","Repetition",3,5
"“Her smile was a ray of sunshine.” This suggests?","She is bright","She is happy and uplifting","She is loud","She is quiet",1,5
"“Call me Ishmael.” What is this?","Dialogue","Narration","Metaphor","Conflict",1,6
"“All animals are equal, but some are more equal than others.” Meaning?","Equality exists","Contradiction/irony","Animals are fair","Confusion",1,6
